"JLBM","SBWZ","SBLX","SBMC","DCWZ","PX"
"1","307","2","IAG","","1"
"1","105","0","5DC","1","2"
"1","103","0","3DC","1","3"
"1","109","0","9DC","1","4"
"1","115","0","15DC","1","5"
"1","117","0","17DC","1","6"
"1","123","0","23DC","1","7"
"1","301","2","IG","","8"
"2","307","2","IAG","","1"
"2","105","0","5DC","0","2"
"2","107","0","7DC","0","3"
"2","113","0","13DC","0","4"
"2","111","10","11DC","1","5"
"2","115","0","15DC","0","6"
"2","109","10","9DC","1","7"
"2","117","0","17DC","1","8"
"2","123","0","23DC","1","9"
"2","301","2","IG","","10"
"3","307","2","IAG","","1"
"3","105","0","5DC","1","2"
"3","103","0","3DC","1","3"
"3","109","0","9DC","1","4"
"3","115","0","15DC","1","5"
"3","117","0","17DC","0","6"
"3","123","11","23DC","1","7"
"3","119","0","19DC","0","8"
"3","127","0","27DC","1","9"
"3","302","2","IIG","","10"
"4","307","2","IAG","","1"
"4","105","0","5DC","0","2"
"4","107","0","7DC","0","3"
"4","113","0","13DC","0","4"
"4","111","10","11DC","1","5"
"4","115","0","15DC","0","6"
"4","109","10","9DC","1","7"
"4","117","0","17DC","0","8"
"4","123","11","23DC","1","9"
"4","119","0","19DC","0","10"
"4","127","0","27DC","1","11"
"4","302","2","IIG","","12"
"5","307","2","IAG","","1"
"5","105","0","5DC","1","2"
"5","103","0","3DC","1","3"
"5","109","0","9DC","1","4"
"5","115","0","15DC","1","5"
"5","117","0","17DC","0","6"
"5","123","11","23DC","1","7"
"5","119","0","19DC","0","8"
"5","127","0","27DC","0","9"
"5","306","2","27/29G","","10"
"5","129","0","29DC","1","11"
"5","129","13","29DC","1","12"
"5","304","2","4G","","13"
"6","307","2","IAG","","1"
"6","105","0","5DC","0","2"
"6","107","0","7DC","0","3"
"6","113","0","13DC","0","4"
"6","111","10","11DC","1","5"
"6","115","0","15DC","0","6"
"6","109","10","9DC","1","7"
"6","117","0","17DC","0","8"
"6","123","11","23DC","1","9"
"6","119","0","19DC","0","10"
"6","127","0","27DC","0","11"
"6","306","2","27/29G","","12"
"6","129","0","29DC","1","13"
"6","129","13","29DC","1","14"
"6","304","2","4G","","15"
"7","307","2","IAG","","1"
"7","105","0","5DC","1","2"
"7","103","0","3DC","1","3"
"7","109","0","9DC","1","4"
"7","115","0","15DC","1","5"
"7","117","0","17DC","1","6"
"7","123","0","23DC","0","7"
"7","125","0","25DC","0","8"
"7","303","2","IIIG","","9"
"8","307","2","IAG","","1"
"8","105","0","5DC","1","2"
"8","103","0","3DC","1","3"
"8","109","0","9DC","0","4"
"8","115","10","15DC","1","5"
"8","111","0","11DC","0","6"
"8","113","10","13DC","1","7"
"8","121","0","21DC","1","8"
"8","125","0","25DC","1","9"
"8","303","2","IIIG","","10"
"9","307","2","IAG","","1"
"9","105","0","5DC","0","2"
"9","107","0","7DC","0","3"
"9","113","0","13DC","1","4"
"9","111","0","11DC","1","5"
"9","121","0","21DC","1","6"
"9","125","0","25DC","1","7"
"9","303","2","IIIG","","8"
"10","307","2","IAG","","1"
"10","105","0","5DC","0","2"
"10","107","0","7DC","0","3"
"10","113","0","13DC","1","4"
"10","111","0","11DC","1","5"
"10","121","0","21DC","0","6"
"10","305","2","5G","","7"
"11","307","2","IAG","","1"
"11","105","0","5DC","1","2"
"11","103","0","3DC","1","3"
"11","109","0","9DC","0","4"
"11","115","10","15DC","1","5"
"11","111","0","11DC","0","6"
"11","113","10","13DC","1","7"
"11","121","0","21DC","0","8"
"11","305","2","5G","","9"
"12","123","0","23DC","1","1"
"12","117","0","17DC","1","2"
"12","115","0","15DC","1","3"
"12","109","0","9DC","1","4"
"12","103","0","3DC","1","5"
"12","105","0","5DC","1","6"
"12","307","2","IAG","","7"
"13","123","0","23DC","1","1"
"13","117","0","17DC","1","2"
"13","115","0","15DC","0","3"
"13","109","10","9DC","1","4"
"13","113","0","13DC","0","5"
"13","111","10","11DC","1","6"
"13","107","0","7DC","0","7"
"13","105","0","5DC","0","8"
"13","307","2","IAG","","9"
"14","127","0","27DC","1","1"
"14","119","0","19DC","0","2"
"14","117","0","17DC","0","3"
"14","123","11","23DC","1","4"
"14","115","0","15DC","1","5"
"14","109","0","9DC","1","6"
"14","103","0","3DC","1","7"
"14","105","0","5DC","1","8"
"14","307","2","IAG","","9"
"15","127","0","27DC","1","1"
"15","119","0","19DC","0","2"
"15","117","0","17DC","0","3"
"15","123","11","23DC","1","4"
"15","115","0","15DC","0","5"
"15","109","10","9DC","1","6"
"15","113","0","13DC","0","7"
"15","111","10","11DC","1","8"
"15","107","0","7DC","0","9"
"15","105","0","5DC","0","10"
"15","307","2","IAG","","11"
"16","127","0","27DC","0","1"
"16","119","0","19DC","0","2"
"16","117","0","17DC","0","3"
"16","123","11","23DC","1","4"
"16","115","0","15DC","1","5"
"16","109","0","9DC","1","6"
"16","103","0","3DC","1","7"
"16","105","0","5DC","1","8"
"16","307","2","IAG","","9"
"17","127","0","27DC","0","1"
"17","119","0","19DC","0","2"
"17","117","0","17DC","0","3"
"17","123","11","23DC","1","4"
"17","115","0","15DC","0","5"
"17","109","10","9DC","1","6"
"17","113","0","13DC","0","7"
"17","111","10","11DC","1","8"
"17","107","0","7DC","0","9"
"17","105","0","5DC","0","10"
"17","307","2","IAG","","11"
