"JLBM","JLMC","JLLX","SDAN","ZDAN","BGAN","MainDC","XHXS","3JJQD","2JJQD","1JJQD","1LQQD","2LQQD","3LQQD"
"1","X-SI","0","261","281","-1","105","U","341","342","343","301","",""
"2","X-D11-SI","0","261","281","211","(105)","UU","341","342","343","301","",""
"3","X-SII","0","261","282","-1","105","UU","341","342","343","302","",""
"4","X-D11-SII","0","261","282","211","(105)","UU","341","342","343","302","",""
"5","X-S4","0","261","284","-1","105","UU","341","342","343","306","",""
"6","X-D11-S4","0","261","284","211","(105)","UU","341","342","343","306","",""
"7","X-SIII","0","261","283","-1","(123)","UU","341","342","343","303","",""
"8","X-BA-SIII","0","261","283","225","(109)","UU","341","342","343","303","",""
"9","X-D11-SIII","0","261","283","211","(105)","UU","341","342","343","303","",""
"10","X-S5","0","261","285","-1","(105)","UU","341","342","343","305","",""
"11","X-D9-S5","0","261","285","209","(109)","UU","341","342","343","305","",""
"12","SI-X","0","281","261","-1","105","L","301","","","341","342","343"
"13","SI-D11-X","0","281","261","211","(105)","L","301","","","341","342","343"
"14","SII-X","0","282","261","-1","105","L","302","","","341","342","343"
"15","SII-D11-X","0","282","261","211","(105)","L","302","","","341","342","343"
"16","S4-X","0","284","261","-1","105","L","306","","","341","342","343"
"17","S4-D11-X","0","284","261","211","(105)","L","306","","","341","342","343"
"18","SIII-X","0","283","261","-1","(123)","L","303","","","341","342","343"
"19","SIII-BA-X","0","283","261","225","(109)","L","303","","","341","342","343"
"20","SIII-D11-X","0","283","261","211","(105)","L","303","","","341","342","343"
"21","S5-X","0","285","261","-1","(105)","L","305","","","341","342","343"
"22","S5-D7-X","0","285","261","207","(109)","L","305","","","341","342","343"
"23","XF-SII","0","262","282","-1","101","U","351","352","353","302","",""
"24","XF-D13-SII","0","262","282","213","(101)","UU","351","352","353","302","",""
"25","XF-S4","0","262","284","-1","101","UU","351","352","353","306","",""
"26","XF-D13-S4","0","262","284","213","(101)","UU","351","352","353","306","",""
"27","XF-SI","0","262","281","-1","","UU","351","352","353","301","",""
"28","XF-SIII","0","262","283","-1","109","UU","351","352","353","303","",""
"29","XF-BA-SIII","0","262","283","225","(109)","UU","351","352","353","303","",""
"30","XF-S5","0","262","285","-1","","UU","351","352","353","305","",""
"31","SII-XF","0","282","262","-1","101","L-LU-U","302","","","351","352","353"
"32","SII-D13-XF","0","282","262","213","(101)","L-LU-U","302","","","351","352","353"
"33","S4-XF","0","284","262","-1","101","L-LU-U","306","","","351","352","353"
"34","S4-D13-XF","0","284","262","213","(101)","L-LU-U","306","","","351","352","353"
"35","SI-XF","0","281","262","-1","","L-LU-U","301","","","351","352","353"
"36","SIII-XF","0","283","262","-1","109","L-LU-U","303","","","351","352","353"
"37","SIII-BA-XF","0","283","262","225","(109)","L-LU-U","303","","","351","352","353"
"38","S5-XF","0","285","262","-1","","L-LU-U","305","","","351","352","353"
"39","XD-SII","0","265","282","-1","","UU","381","","","302","",""
"40","XD-S4","0","265","284","-1","","UU","381","","","306","",""
"41","XD-SI","0","265","281","-1","","UU","381","","","301","",""
"42","XD-SIII","0","265","283","-1","113","U","381","","","303","",""
"43","XD-D13-SIII","0","265","283","213","(113)","UU","381","","","303","",""
"44","XD-S5","0","265","285","-1","113","UU","381","","","305","",""
"45","SII-XD","0","282","265","-1","","L","302","","","381","",""
"46","S4-XD","0","284","265","-1","","L","306","","","381","",""
"47","SI-XD","0","281","265","-1","","L","301","","","381","",""
"48","SIII-XD","0","283","265","-1","113","L","303","","","381","",""
"49","SIII-D13-XD","0","283","265","213","(113)","L","303","","","381","",""
"50","S5-XD","0","285","265","-1","113","L","305","","","381","",""
"51","SF-XI","0","263","291","-1","","U","361","362","363","301","",""
"52","SF-XII","0","263","292","-1","","UU","361","362","363","302","",""
"53","SF-XIII","0","263","293","-1","","UU","361","362","363","303","",""
"54","SF-X4","0","263","294","-1","","UU","361","362","363","304","",""
"55","SF-X5","0","263","295","-1","","UU","361","362","363","305","",""
"56","XI-SF","0","291","263","-1","","L-LU-U","301","","","361","362","363"
"57","XII-SF","0","292","263","-1","","L-LU-U","302","","","361","362","363"
"58","XIII-SF","0","293","263","-1","","L-LU-U","303","","","361","362","363"
"59","X4-SF","0","294","263","-1","","L-LU-U","304","","","361","362","363"
"60","X5-SF","0","295","263","-1","","L-LU-U","305","","","361","362","363"
"61","S-XI","0","264","291","-1","","UU","371","372","373","301","",""
"62","S-XII","0","264","292","-1","","U","371","372","373","302","",""
"63","S-XIII","0","264","293","-1","","UU","371","372","373","303","",""
"64","S-X4","0","264","294","-1","","UU","371","372","373","304","",""
"65","S-X5","0","264","295","-1","","UU","371","372","373","305","",""
"66","XI-S","0","291","264","-1","","L","301","","","371","372","373"
"67","XII-S","0","292","264","-1","","L","302","","","371","372","373"
"68","XIII-S","0","293","264","-1","","L","303","","","371","372","373"
"69","X4-S","0","294","264","-1","","L","304","","","371","372","373"
"70","X5-S","0","295","264","-1","","L","305","","","371","372","373"
"101","D1-D5","1","201","205","-1","","B","308","","","309","",""
"102","D1-D7","1","201","207","-1","","B","308","","","109","",""
"103","D3-D7","1","203","207","-1","","B","307","","","109","",""
"104","D3-D11","1","203","211","-1","","B","307","","","113","",""
"105","D5-D1","1","205","201","-1","","B","309","","","308","",""
"106","D7-D3","1","207","203","-1","","B","109","","","307","",""
"107","D7-D1","1","207","201","-1","","B","109","","","308","",""
"108","D9-D13","1","209","213","-1","","B","103","","","117","",""
"109","D9-BA-SIII","1","209","283","225","(109)","B","103","","","303","",""
"110","D9-S5","1","209","285","-1","","B","103","","","305","",""
"111","D11-SIII","1","211","283","-1","","B","107","","","303","",""
"112","D11-S5","1","211","285","-1","","B","107","","","305","",""
"113","D11-D13","1","211","213","-1","","B","107","","","117","",""
"114","D13-SI","1","213","281","-1","","B","115","","","301","",""
"115","D13-SIII","1","213","283","-1","","B","115","","","303","",""
"116","D13-SII","1","213","282","-1","","B","115","","","302","",""
"117","D13-S4","1","213","284","-1","","B","115","","","306","",""
"118","D15-SII","1","215","282","-1","","B","309","","","302","",""
"119","D15-S4","1","215","284","-1","","B","309","","","306","",""
"120","D17-D19","1","217","219","-1","","B","306","","","304","",""
"121","D17-D21","1","217","221","-1","","B","306","","","310","",""
"122","D19-D17","1","219","217","-1","","B","304","","","306","",""
"123","D21-D17","1","221","217","-1","","B","310","","","306","",""
