"Index","ID","Type","ConlQD","ConrQD","ConlXH","ConrXH","YH","Other"
"301","IG","1","123","116","281","291","100",""
"302","IIG","1","127","114","282","292","100",""
"303","IIIG","1","125","118","283","293","100",""
"304","4G","1","129","114","219","294","100",""
"305","5G","1","121","122","285","295","100",""
"306","27/29G","0","127","129","284","217","0",""
"307","IAG","0","341","105","261","203","0",""
"308","IIAG","0","351","101","262","201","0",""
"309","1/19G","0","101","119","205","215","0",""
"310","D21G","0","129","0","221","0","0",""
"311","D18G","0","0","122","0","218","1",""
"312","2/20G","0","120","102","214","206","1",""
"313","IIBG","0","110","371","204","264","1",""
"314","D2G","0","102","0","202","0","1",""
"341","X3JG","2","342","307","268","261","0",""
"342","X3JG","2","343","341","267","268","0",""
"343","X3JG","2","0","342","266","267","0",""
"351","XF1LQ","2","352","308","270","262","0",""
"352","XF2LQ","2","353","351","269","270","0",""
"353","XF3LQ","2","0","352","0","269","0",""
"361","SF1LQ","2","104","362","263","271","1",""
"362","SF2LQ","2","361","363","271","272","1",""
"363","SF3LQ","2","362","0","272","0","1",""
"371","S3JG","2","313","372","264","273","1",""
"372","S2JG","2","371","373","273","274","1",""
"373","S1JG","2","372","0","274","275","1",""
"381","XDJG","2","0","107","0","265","0",""
