"Index","ID","Type","Direct","FirstQD","JJQD","Difference","Apposition","YH"
"201","D1","2","0","101","308","0","0","0"
"203","D3","2","0","105","307","0","0","0"
"205","D5","2","1","101","309","215","0","0"
"207","D7","2","1","103","109","0","209","0"
"209","D9","2","0","109","103","0","207","0"
"211","D11","2","0","113","107","0","0","0"
"213","D13","2","0","117","115","0","0","0"
"215","D15","2","0","119","309","205","0","0"
"217","D17","2","0","129","306","0","0","0"
"219","D19","2","1","129","304","0","0","0"
"221","D21","2","1","129","310","0","0","0"
"202","D2","2","1","102","314","0","0","1"
"204","D4","2","1","110","313","0","0","1"
"206","D6","2","0","102","312","214","0","1"
"208","D8","2","1","106","104","0","0","1"
"210","D10","2","0","112","116","0","212","1"
"212","D12","2","1","116","112","0","210","1"
"214","D14","2","1","120","312","206","0","1"
"216","D16","2","1","122","120","0","0","1"
"218","D18","2","0","122","311","0","0","1"
"261","X","0","0","307","341","0","0","0"
"262","XF","0","0","308","351","0","0","0"
"263","SF","0","1","104","361","0","0","1"
"264","S","0","1","313","371","0","0","1"
"265","XD","0","0","107","381","0","0","0"
"266","","3","0","343","0","0","0","0"
"267","","3","0","342","343","0","0","0"
"268","","3","0","341","342","0","0","0"
"269","","3","1","353","352","0","0","0"
"270","","3","1","352","351","0","0","0"
"271","","3","0","362","361","0","0","1"
"272","","3","0","363","362","0","0","1"
"273","","3","1","371","372","0","0","1"
"274","","3","1","372","373","0","0","1"
"275","","3","1","373","0","0","0","1"
"281","SI","1","1","123","301","0","0","0"
"282","SII","1","1","127","302","0","0","0"
"283","SIII","1","1","125","303","0","0","0"
"284","S4","1","1","127","306","0","0","0"
"285","S5","1","1","121","305","0","0","0"
"291","XI","1","0","116","301","0","0","1"
"292","XII","1","0","114","302","0","0","1"
"293","XIII","1","0","118","303","0","0","1"
"294","X4","1","0","114","304","0","0","1"
"295","X5","1","0","122","305","0","0","1"
"225","BA","4","0","121","111","0","0","0"
