"Index","Times","Time","Begintime","Name","YH"
"3","3","2006-10-9 10:06:13","2006-7-20 17:32:55","总人解","10"
"2","20","2006-8-2 10:47:05","2006-7-20 17:33:33","区故解","10"
"1","1","2006-8-2 17:17:37","2006-8-2 17:17:37","Ｘ引导总锁","0"
"7","0","","","总辅助","10"
"8","0","","","接车辅助","10"
"9","0","","","发车辅助","10"
"6","6","2006-10-9 10:08:15","2006-8-2 8:25:05","改方","10"
"4","1","2006-8-2 17:17:25","2006-8-2 17:17:25","Ｓ引导总锁","1"
"5","3","2006-10-9 10:05:53","2006-7-21 10:54:23","引导","10"
"10","3","2006-8-2 17:07:07","2006-8-2 17:06:46","Ｘ引导总锁","2"
"11","21","2006-11-15 9:45:45","2006-7-20 17:33:33","区故解","23"
"12","16","2006-11-22 15:52:49","2006-7-20 17:32:55","总人解","23"
"13","2","2006-8-2 17:11:06","2006-8-2 17:10:59","Ｓ引导总锁","3"
"14","5","2006-11-15 9:47:27","2006-7-21 10:54:23","引导","23"
"15","1","2006-8-1 20:11:48","2006-8-1 20:11:48","改方","23"
"16","0","","","总辅助","23"
"17","0","","","接车辅助","23"
"18","0","","","发车辅助","23"
